block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
18900900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18902100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18903300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18904500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18905700,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18906900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18908100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18909300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18910500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18911700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18912900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18914100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18915300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18916500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18917700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18918900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18920100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18921300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18922500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18923700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18924900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18926100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18927300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18928500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18929700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18930900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18932100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18933300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18934500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18935700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18936900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18938100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18939300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18940500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18941700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18942900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18944100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18945300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18946500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18947700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18948900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
